Time_s,Phi_query_deg,Theta_query_deg
29.1,180,103.997106481142
29.2,180,103.937148316067
29.3,180,103.877691591266
29.4,180,103.81873016895
29.5,180,103.760258008969
29.6,180,103.702269166928
29.7,180,103.644757792332
29.8,180,103.587718126787
29.9,180,103.531144502236
30,180,103.475031339227
30.1,180,103.419373145233
30.2,180,103.364164512997
30.3,180,103.309400118926
30.4,180,103.255074721506
30.5,180,103.201183159763
30.6,180,103.147720351755
30.7,180,103.094681293095
30.8,180,103.042061055508
30.9,180,102.989854785416
31,180,102.938057702563
31.1,180,102.886665098656
31.2,180,102.835672336045
31.3,180,102.785074846433
31.4,180,102.734868129601
31.5,180,102.685047752179
31.6,180,102.635609346423
31.7,180,102.586548609036
31.8,180,102.537861300001
31.9,180,102.489543241445
32,180,102.441590316526
32.1,180,102.393998468342
32.2,180,102.346763698864
32.3,180,102.299882067892
32.4,180,102.253349692029
32.5,180,102.207162743683
32.6,180,102.16131745008
32.7,180,102.115810092308
32.8,180,102.070637004375
32.9,180,102.025794572284
33,180,101.981279233132
33.1,180,101.937087474226
33.2,180,101.893215832214
33.3,180,101.849660892238
33.4,180,101.8064192871
33.5,180,101.763487696448
33.6,180,101.720862845977
33.7,180,101.678541506648
33.8,180,101.636520493915
33.9,180,101.594796666979
34,180,101.553366928051
34.1,180,101.512228221624
34.2,180,101.47137753377
34.3,180,101.430811891445
34.4,180,101.390528361807
34.5,180,101.350524051549
34.6,180,101.310796106248
34.7,180,101.271341709718
34.8,180,101.232158083387
34.9,180,101.193242485674
35,180,101.15459221139
35.1,180,101.116204591141
35.2,180,101.078076990749
35.3,180,101.040206810677
35.4,180,101.002591485475
35.5,180,100.965228483226
35.6,180,100.928115305009
35.7,180,100.89124948437
35.8,180,100.854628586807
35.9,180,100.818250209255
36,180,100.782111979592
36.1,180,100.746211556146
36.2,180,100.710546627216
36.3,180,100.6751149106
36.4,180,100.639914153132
36.5,180,100.604942130227
36.6,180,100.570196645435
36.7,180,100.535675530003
36.8,180,100.501376642447
36.9,180,100.467297868129
37,180,100.433437118839
37.1,180,100.399792332398
37.2,180,100.366361472246
37.3,180,100.333142527063
37.4,180,100.300133510372
37.5,180,100.267332460171
37.6,180,100.234737438555
37.7,180,100.202346531354
37.8,180,100.170157847776
37.9,180,100.138169520054
38,180,100.1063797031
38.1,180,100.074786574166
38.2,180,100.043388332513
38.3,180,100.01218319908
38.4,180,99.9811694161643
38.5,180,99.9503452471068
38.6,180,99.9197089759784
38.7,180,99.8892589072771
38.8,180,99.8589933656277
38.9,180,99.8289106954871
39,180,99.7990092608551
39.1,180,99.7692874449897
39.2,180,99.7397436501278
39.3,180,99.7103762972101
39.4,180,99.6811838256115
39.5,180,99.6521646928751
39.6,180,99.623317374452
39.7,180,99.5946403634442
39.8,180,99.5661321703526
39.9,180,99.5377913228294
40,180,99.5096163654343
40.1,180,99.4816058593948
40.2,180,99.4537583823706
40.3,180,99.4260725282222
40.4,180,99.3985469067829
40.5,180,99.3711801436353
40.6,180,99.3439708798903
40.7,180,99.3169177719711
40.8,180,99.2900194914
40.9,180,99.2632747245889
41,180,99.2366821726333
41.1,180,99.2102405511094
41.2,180,99.183948589875
41.3,180,99.1578050328732
41.4,180,99.1318086379397
41.5,180,99.1059581766126
41.6,180,99.0802524339462
41.7,180,99.0546902083268
41.8,180,99.0292703112924
41.9,180,99.0039915673546
42,180,98.9788528138236
42.1,180,98.9538529006361
42.2,180,98.9289906901859
42.3,180,98.9042650571571
42.4,180,98.87967488836
42.5,180,98.8552190825696
42.6,180,98.8308965503666
42.7,180,98.806706213981
42.8,180,98.7826470071384
42.9,180,98.7587178749078
43,180,98.7349177735529
43.1,180,98.7112456703853
43.2,180,98.6877005436194
43.3,180,98.6642813822306
43.4,180,98.6409871858148
43.5,180,98.6178169644506
43.6,180,98.5947697385635
43.7,180,98.5718445387921
43.8,180,98.5490404058564
43.9,180,98.5263563904278
44,180,98.5037915530022
44.1,180,98.4813449637734
44.2,180,98.4590157025096
44.3,180,98.4368028584316
44.4,180,98.4147055300924
44.5,180,98.392722825259
44.6,180,98.3708538607959
44.7,180,98.3490977625503
44.8,180,98.3274536652389
44.9,180,98.3059207123367
45,180,98.2844980559674
45.1,180,98.2631848567951
45.2,180,98.2419802839177
45.3,180,98.2208835147625
45.4,180,98.1998937349823
45.5,180,98.179010138354
45.6,180,98.1582319266781
45.7,180,98.1375583096797
45.8,180,98.1169885049114
45.9,180,98.0965217376572
46,180,98.0761572408377
46.1,180,98.0558942549172
46.2,180,98.0357320278118
46.3,180,98.0156698147985
46.4,180,97.9957068784266
46.5,180,97.9758424884292
46.6,180,97.9560759216368
46.7,180,97.9364064618919
46.8,180,97.9168333999647
46.9,180,97.89735603347
47,180,97.8779736667856
47.1,180,97.8586856109716
47.2,180,97.8394911836908
47.3,180,97.8203897091301
47.4,180,97.8013805179236
