Time_s,Lat_deg,Lon_deg,Alt_m,Yaw_deg,Pitch_deg,Roll_deg
18.5,39.9316193605662,116.3,1670.10111744307,0,0,0
18.6,39.9318888551515,116.3,1670.10111744307,0,0,0
18.7,39.9321583497367,116.3,1670.10111744307,0,0,0
18.8,39.9324278443219,116.3,1670.10111744307,0,0,0
18.9,39.9326973389072,116.3,1670.10111744307,0,0,0
19,39.9329668334924,116.3,1670.10111744307,0,0,0
19.1,39.9332363280777,116.3,1670.10111744307,0,0,0
19.2,39.9335058226629,116.3,1670.10111744307,0,0,0
19.3,39.9337753172481,116.3,1670.10111744307,0,0,0
19.4,39.9340448118334,116.3,1670.10111744307,0,0,0
19.5,39.9343143064186,116.3,1670.10111744307,0,0,0
19.6,39.9345838010038,116.3,1670.10111744307,0,0,0
19.7,39.9348532955891,116.3,1670.10111744307,0,0,0
19.8,39.9351227901743,116.3,1670.10111744307,0,0,0
19.9,39.9353922847595,116.3,1670.10111744307,0,0,0
20,39.9356617793448,116.3,1670.10111744307,0,0,0
20.1,39.93593127393,116.3,1670.10111744307,0,0,0
20.2,39.9362007685152,116.3,1670.10111744307,0,0,0
20.3,39.9364702631005,116.3,1670.10111744307,0,0,0
20.4,39.9367397576857,116.3,1670.10111744307,0,0,0
20.5,39.937009252271,116.3,1670.10111744307,0,0,0
20.6,39.9372787468562,116.3,1670.10111744307,0,0,0
20.7,39.9375482414414,116.3,1670.10111744307,0,0,0
20.8,39.9378177360267,116.3,1670.10111744307,0,0,0
20.9,39.9380872306119,116.3,1670.10111744307,0,0,0
21,39.9383567251971,116.3,1670.10111744307,0,0,0
21.1,39.9386262197824,116.3,1670.10111744307,0,0,0
21.2,39.9388957143676,116.3,1670.10111744307,0,0,0
21.3,39.9391652089528,116.3,1670.10111744307,0,0,0
21.4,39.9394347035381,116.3,1670.10111744307,0,0,0
21.5,39.9397041981233,116.3,1670.10111744307,0,0,0
21.6,39.9399736927086,116.3,1670.10111744307,0,0,0
21.7,39.9402431872938,116.3,1670.10111744307,0,0,0
21.8,39.940512681879,116.3,1670.10111744307,0,0,0
21.9,39.9407821764643,116.3,1670.10111744307,0,0,0
22,39.9410516710495,116.3,1670.10111744307,0,0,0
22.1,39.9413211656347,116.3,1670.10111744307,0,0,0
22.2,39.94159066022,116.3,1670.10111744307,0,0,0
22.3,39.9418601548052,116.3,1670.10111744307,0,0,0
22.4,39.9421296493904,116.3,1670.10111744307,0,0,0
22.5,39.9423991439757,116.3,1670.10111744307,0,0,0
22.6,39.9426686385609,116.3,1670.10111744307,0,0,0
22.7,39.9429381331461,116.3,1670.10111744307,0,0,0
22.8,39.9432076277314,116.3,1670.10111744307,0,0,0
22.9,39.9434771223166,116.3,1670.10111744307,0,0,0
23,39.9437466169019,116.3,1670.10111744307,0,0,0
23.1,39.9440161114871,116.3,1670.10111744307,0,0,0
23.2,39.9442856060723,116.3,1670.10111744307,0,0,0
23.3,39.9445551006576,116.3,1670.10111744307,0,0,0
23.4,39.9448245952428,116.3,1670.10111744307,0,0,0
23.5,39.945094089828,116.3,1670.10111744307,0,0,0
23.6,39.9453635844133,116.3,1670.10111744307,0,0,0
23.7,39.9456330789985,116.3,1670.10111744307,0,0,0
23.8,39.9459025735837,116.3,1670.10111744307,0,0,0
23.9,39.946172068169,116.3,1670.10111744307,0,0,0
24,39.9464415627542,116.3,1670.10111744307,0,0,0
24.1,39.9467110573394,116.3,1670.10111744307,0,0,0
24.2,39.9469805519247,116.3,1670.10111744307,0,0,0
24.3,39.9472500465099,116.3,1670.10111744307,0,0,0
24.4,39.9475195410952,116.3,1670.10111744307,0,0,0
24.5,39.9477890356804,116.3,1670.10111744307,0,0,0
24.6,39.9480585302656,116.3,1670.10111744307,0,0,0
24.7,39.9483280248509,116.3,1670.10111744307,0,0,0
24.8,39.9485975194361,116.3,1670.10111744307,0,0,0
24.9,39.9488670140213,116.3,1670.10111744307,0,0,0
25,39.9491365086066,116.3,1670.10111744307,0,0,0
25.1,39.9494060031918,116.3,1670.10111744307,0,0,0
25.2,39.949675497777,116.3,1670.10111744307,0,0,0
25.3,39.9499449923623,116.3,1670.10111744307,0,0,0
25.4,39.9502144869475,116.3,1670.10111744307,0,0,0
25.5,39.9504839815327,116.3,1670.10111744307,0,0,0
25.6,39.950753476118,116.3,1670.10111744307,0,0,0
25.7,39.9510229707032,116.3,1670.10111744307,0,0,0
25.8,39.9512924652885,116.3,1670.10111744307,0,0,0
25.9,39.9515619598737,116.3,1670.10111744307,0,0,0
26,39.9518314544589,116.3,1670.10111744307,0,0,0
26.1,39.9521009490442,116.3,1670.10111744307,0,0,0
26.2,39.9523704436294,116.3,1670.10111744307,0,0,0
26.3,39.9526399382146,116.3,1670.10111744307,0,0,0
26.4,39.9529094327999,116.3,1670.10111744307,0,0,0
26.5,39.9531789273851,116.3,1670.10111744307,0,0,0
26.6,39.9534484219703,116.3,1670.10111744307,0,0,0
26.7,39.9537179165556,116.3,1670.10111744307,0,0,0
26.8,39.9539874111408,116.3,1670.10111744307,0,0,0
26.9,39.9542569057261,116.3,1670.10111744307,0,0,0
27,39.9545264003113,116.3,1670.10111744307,0,0,0
27.1,39.9547958948965,116.3,1670.10111744307,0,0,0
27.2,39.9550653894818,116.3,1670.10111744307,0,0,0
27.3,39.955334884067,116.3,1670.10111744307,0,0,0
27.4,39.9556043786522,116.3,1670.10111744307,0,0,0
27.5,39.9558738732375,116.3,1670.10111744307,0,0,0
27.6,39.9561433678227,116.3,1670.10111744307,0,0,0
27.7,39.9564128624079,116.3,1670.10111744307,0,0,0
27.8,39.9566823569932,116.3,1670.10111744307,0,0,0
27.9,39.9569518515784,116.3,1670.10111744307,0,0,0
28,39.9572213461636,116.3,1670.10111744307,0,0,0
28.1,39.9574908407489,116.3,1670.10111744307,0,0,0
28.2,39.9577603353341,116.3,1670.10111744307,0,0,0
28.3,39.9580298299194,116.3,1670.10111744307,0,0,0
28.4,39.9582993245046,116.3,1670.10111744307,0,0,0
28.5,39.9585688190898,116.3,1670.10111744307,0,0,0
28.6,39.9588383136751,116.3,1670.10111744307,0,0,0
28.7,39.9591078082603,116.3,1670.10111744307,0,0,0
28.8,39.9593773028455,116.3,1670.10111744307,0,0,0
28.9,39.9596467974308,116.3,1670.10111744307,0,0,0
29,39.959916292016,116.3,1670.10111744307,0,0,0
29.1,39.9601857866012,116.3,1670.10111744307,0,0,0
29.2,39.9604552811865,116.3,1670.10111744307,0,0,0
29.3,39.9607247757717,116.3,1670.10111744307,0,0,0
29.4,39.9609942703569,116.3,1670.10111744307,0,0,0
29.5,39.9612637649422,116.3,1670.10111744307,0,0,0
29.6,39.9615332595274,116.3,1670.10111744307,0,0,0
29.7,39.9618027541127,116.3,1670.10111744307,0,0,0
29.8,39.9620722486979,116.3,1670.10111744307,0,0,0
29.9,39.9623417432831,116.3,1670.10111744307,0,0,0
30,39.9626112378684,116.3,1670.10111744307,0,0,0
30.1,39.9628807324536,116.3,1670.10111744307,0,0,0
30.2,39.9631502270388,116.3,1670.10111744307,0,0,0
30.3,39.9634197216241,116.3,1670.10111744307,0,0,0
30.4,39.9636892162093,116.3,1670.10111744307,0,0,0
30.5,39.9639587107945,116.3,1670.10111744307,0,0,0
30.6,39.9642282053798,116.3,1670.10111744307,0,0,0
30.7,39.964497699965,116.3,1670.10111744307,0,0,0
