Freq [GHz],Phi [deg],Theta [deg],dB(RealizedGainTotal)
1,-70,160,-1.89274942947284
1,-70,165,-2.89503672330836
1,-70,170,-4.05420500631817
1,-70,175,-5.40673149871501
1,-70,180,-7.0126964558077
1,-65,-180,-8.97697067903126
1,-65,-175,-11.5012208955193
1,-65,-170,-15.0444571023875
1,-65,-165,-21.0792856026029
1,-65,-160,-49.6915268863378
1,-65,-155,-49.7160442636998
1,-65,-150,-21.0531129936327
1,-65,-145,-15.0310636751648
1,-65,-140,-11.4920163088731
1,-65,-135,-8.969819286698
1,-65,-130,-7.00676303512631
1,-65,-125,-5.4016177070834
1,-65,-120,-4.04970152607996
1,-65,-115,-2.89102950876765
1,-65,-110,-1.8891773399188
1,-65,-105,-1.02127188116727
1,-65,-100,-0.272711255807749
1,-65,-95,0.365856713095356
1,-65,-90,0.900375357277108
1,-65,-85,1.33455474952363
1,-65,-80,1.67064719350896
1,-65,-75,1.90996713833621
1,-65,-70,2.05323773399316
1,-65,-65,2.10081189749283
1,-65,-60,2.05279541501817
1,-65,-55,1.90908636928068
1,-65,-50,1.66933531608433
1,-65,-45,1.33282176328249
1,-65,-40,0.898232633674503
1,-65,-35,0.363315141929388
1,-65,-30,-0.275643859522102
1,-65,-25,-1.02459441743725
1,-65,-20,-1.89290067637087
1,-65,-15,-2.89518442903757
1,-65,-10,-4.05435157154595
1,-65,-5,-5.40688171305175
1,-65,0,-7.01285893412775
1,-65,5,-8.97716105895678
1,-65,10,-11.5014703547867
1,-65,15,-15.0448422125109
1,-65,20,-21.0801075318218
1,-65,25,-49.6915268863378
1,-65,30,-49.7160442636998
1,-65,35,-21.0519769112249
1,-65,40,-15.0304512828455
1,-65,45,-11.4915820831379
1,-65,50,-8.96947895093177
1,-65,55,-7.00648475311347
1,-65,60,-5.40138699309067
1,-65,65,-4.04951113266488
1,-65,70,-2.89087558089942
1,-65,75,-1.88905766930598
1,-65,80,-1.02118501087279
1,-65,85,-0.272655981324417
1,-65,90,0.365881634903719
1,-65,95,0.900371378256525
1,-65,100,1.334523622957
1,-65,105,1.67059101321566
1,-65,110,1.90988833816449
1,-65,115,2.05313905676069
1,-65,120,2.10069633977879
1,-65,125,2.05266615269748
1,-65,130,1.90894666772076
1,-65,135,1.66918842815174
1,-65,140,1.33267081749995
1,-65,145,0.898080513815201
1,-65,150,0.363164357758088
1,-65,155,-0.275791313215783
1,-65,160,-1.0247372208034
1,-65,165,-1.89303837891124
1,-65,170,-2.89531770994956
1,-65,175,-4.05448263148305
1,-65,180,-5.40701494165379
1,-60,-180,-7.01300220215036
1,-60,-175,-8.97732859655288
1,-60,-170,-11.5016904234301
1,-60,-165,-15.0451840070628
1,-60,-160,-21.0808427180374
1,-60,-155,-49.6915268863378
1,-60,-150,-49.7160442636998
1,-60,-145,-21.0509700824116
1,-60,-140,-15.0299067327309
1,-60,-135,-11.4911951572915
1,-60,-130,-8.96917543656811
1,-60,-125,-7.00623668845944
1,-60,-120,-5.40118170489186
1,-60,-115,-4.04934231049873
1,-60,-110,-2.89073988106113
1,-60,-105,-1.88895317264268
1,-60,-100,-1.0211104317704
1,-60,-95,-0.272610227431365
1,-60,-90,0.365899718630456
1,-60,-85,0.900363157881764
1,-60,-80,1.33449075482146
1,-60,-75,1.67053547512959
1,-60,-70,1.90981242501231
1,-60,-65,2.05304534862785
1,-60,-60,2.10058764838577
1,-60,-55,2.05254545060442
1,-60,-50,1.90881700391578
1,-60,-45,1.66905283295705
1,-60,-40,1.33253219901568
1,-60,-35,0.89794154718372
1,-60,-30,0.363027367127942
1,-60,-25,-0.275924482425317
1,-60,-20,-1.02486534567128
1,-60,-15,-1.89316103237472
1,-60,-10,-2.89543549149264
1,-60,-5,-4.05459751292722
1,-60,0,-5.40713085547103
1,-60,5,-7.01312618024282
1,-60,10,-8.97747330835468
1,-60,15,-11.5018809449146
1,-60,20,-15.0454815659058
1,-60,25,-21.0814873161081
1,-60,30,-49.6915268863378
1,-60,35,-49.7160442636998
1,-60,40,-21.050101749558
1,-60,45,-15.0294357234052
1,-60,50,-11.4908598869697
1,-60,55,-8.96891225574339
1,-60,60,-7.0060216699983
1,-60,65,-5.40100404150559
1,-60,70,-4.04919664372336
1,-60,75,-2.89062338141392
1,-60,80,-1.88886421324639
1,-60,85,-1.02104790801571
1,-60,90,-0.27257317866935
1,-60,95,0.365912328349832
1,-60,100,0.900352565945838
1,-60,105,1.33445846622655
1,-60,110,1.67048328680435
1,-60,115,1.90974241908333
1,-60,120,2.05295986168692
1,-60,125,2.10048922183083
1,-60,130,2.05243676599915
1,-60,135,1.90870080658834
1,-60,140,1.66893184647629
1,-60,145,1.332409032568
1,-60,150,0.897818597063397
1,-60,155,0.362906712338585
1,-60,160,-0.276041192429681
1,-60,165,-1.02497701647369
1,-60,170,-1.89326727490433
1,-60,175,-2.8955368209529
1,-60,180,-4.05469564597683
1,-55,-180,-5.40722921516906
1,-55,-175,-7.01323087344909
1,-55,-170,-8.97759530521233
1,-55,-165,-11.5020418942985
1,-55,-160,-15.045734202491
1,-55,-155,-21.0820380637832
1,-55,-150,-49.6915268863378
1,-55,-145,-49.7160442636998
1,-55,-140,-21.0493799473819
1,-55,-135,-15.0290432433719
1,-55,-130,-11.4905800983487
1,-55,-125,-8.96869249752004
1,-55,-120,-7.00584218417908
1,-55,-115,-5.40085593015963
1,-55,-110,-4.0490755112053
1,-55,-105,-2.89052691360348
1,-55,-100,-1.88879107754827
1,-55,-95,-1.02099718913152
1,-55,-90,-0.272544065109974
1,-55,-85,0.36592072548997
1,-55,-80,0.900341316589908
1,-55,-75,1.33442887479923
1,-55,-70,1.67043691064996
1,-55,-65,1.90968106081336
1,-55,-60,2.05288554136882
1,-55,-55,2.10040413329232
1,-55,-50,2.05234322059427
1,-55,-45,1.90860116717471
1,-55,-40,1.66882845387238
1,-55,-35,1.33230412624784
1,-55,-30,0.897714231171367
1,-55,-25,0.362804667093681
1,-55,-20,-0.276139505511375
1,-55,-15,-1.02507065993383
1,-55,-10,-1.8933559108421
1,-55,-5,-2.89562087636479
1,-55,0,-4.05477655905911
1,-55,5,-5.40730985334948
1,-55,10,-7.01331634254695
1,-55,15,-8.97769475451267
1,-55,20,-11.5021733349845
1,-55,25,-15.0459414209187
1,-55,30,-21.0824922561401
1,-55,35,-49.6915268863378
1,-55,40,-49.7160442636998
1,-55,45,-21.0488113991291
1,-55,50,-15.0287334907924
1,-55,55,-11.4903590205485
1,-55,60,-8.96851877156855
1,-55,65,-7.00570033046818
1,-55,70,-5.40073899427409
1,-55,75,-4.04898006793257
1,-55,80,-2.89045116418514
1,-55,85,-1.88873398485036
1,-55,90,-1.02095803403979
1,-55,95,-0.272522200223841
1,-55,100,0.365926017948399
1,-55,105,0.900330905588718
1,-55,110,1.33440382165993
1,-55,115,1.67039848241377
1,-55,120,1.90963072291071
1,-55,125,2.05282493427729
1,-55,130,2.1003350365861
1,-55,135,2.05226750706351
1,-55,140,1.90852074922656
1,-55,145,1.66874522404854
1,-55,150,1.3322198932913
1,-55,155,0.897630652541923
1,-55,160,0.362723178032418
1,-55,165,-0.276217767563356
1,-55,170,-1.02514493898295
1,-55,175,-1.89342593154737
1,-55,180,-2.89568697426026
1,-50,-180,-4.0548398740986
1,-50,-175,-5.40737265810005
1,-50,-170,-7.01338267745217
1,-50,-165,-8.97777184551216
1,-50,-160,-11.5022753789603
