Time_s,Lat_deg,Lon_deg,Alt_m,Yaw_deg,Pitch_deg,Roll_deg
3.8,39.9098918476371,116.3,324.225511416874,0,7.93059510291067,0
3.9,39.9101521594171,116.3,328.213232769949,0,7.74023376785736,0
4,39.910412471197,116.3,332.102854123025,0,7.54970034884942,0
4.1,39.9106727829769,116.3,335.894375476101,0,7.35899883210161,0
4.2,39.9109330947568,116.3,339.587796829176,0,7.1681332257624,0
4.3,39.9111934065367,116.3,343.183118182252,0,6.9771075594476,0
4.4,39.9114537183167,116.3,346.680339535327,0,6.78592588376722,0
4.5,39.9117140300966,116.3,350.079460888403,0,6.5945922698455,0
4.6,39.9119743418765,116.3,353.380482241479,0,6.40311080883442,0
4.7,39.9122346536564,116.3,356.583403594554,0,6.2114856114207,0
4.8,39.9124949654364,116.3,359.68822494763,0,6.01972080732649,0
4.9,39.9127552772163,116.3,362.694946300706,0,5.8278205448038,0
5,39.9130155889962,116.3,365.603567653781,0,5.63578899012299,0
5.1,39.9132759007761,116.3,368.414089006857,0,5.44363032705524,0
5.2,39.9135362125561,116.3,371.126510359932,0,5.25134875634939,0
5.3,39.913796524336,116.3,373.740831713008,0,5.05894849520306,0
5.4,39.9140568361159,116.3,376.257053066084,0,4.86643377672848,0
5.5,39.9143171478958,116.3,378.675174419159,0,4.67380884941288,0
5.6,39.9145774596758,116.3,380.995195772235,0,4.48107797657393,0
5.7,39.9148377714557,116.3,383.21711712531,0,4.28824543581012,0
5.8,39.9150980832356,116.3,385.340938478386,0,4.09531551844648,0
5.9,39.9153583950155,116.3,387.366659831462,0,3.90229252897556,0
6,39.9156187067955,116.3,389.294281184537,0,3.70918078449417,0
6.1,39.9158790185754,116.3,391.123802537613,0,3.51598461413573,0
6.2,39.9161393303553,116.3,392.855223890689,0,3.32270835849863,0
6.3,39.9163996421352,116.3,394.488545243764,0,3.12935636907076,0
6.4,39.9166599539152,116.3,396.02376659684,0,2.93593300765026,0
6.5,39.9169202656951,116.3,397.460887949915,0,2.74244264576287,0
6.6,39.917180577475,116.3,398.799909302991,0,2.54888966407591,0
6.7,39.9174408892549,116.3,400.040830656067,0,2.3552784518092,0
6.8,39.9177012010349,116.3,401.183652009142,0,2.16161340614304,0
6.9,39.9179615128148,116.3,402.228373362218,0,1.96789893162351,0
7,39.9182218245947,116.3,403.174994715294,0,1.7741394395652,0
7.1,39.9184821363746,116.3,404.023516068369,0,1.58033934745167,0
7.2,39.9187424481546,116.3,404.773937421445,0,1.38650307833383,0
7.3,39.9190027599345,116.3,405.42625877452,0,1.19263506022633,0
7.4,39.9192630717144,116.3,405.980480127596,0,0.998739725502304,0
7.5,39.9195233834943,116.3,406.436601480672,0,0.804821510286622,0
7.6,39.9197836952742,116.3,406.794622833747,0,0.610884853847834,0
7.7,39.9200440070542,116.3,407.054544186823,0,0.416934197989055,0
7.8,39.9203043188341,116.3,407.216365539899,0,0.222973986437946,0
7.9,39.920564630614,116.3,407.280086892974,0,0.0290086642360819,0
8,39.9208249423939,116.3,407.24570824605,0,-0.164957322872183,0
8.1,39.9210852541739,116.3,407.113229599125,0,-0.35891952905105,0
8.2,39.9213455659538,116.3,406.882650952201,0,-0.552873508984674,0
8.3,39.9216058777337,116.3,406.553972305277,0,-0.746814818488339,0
8.4,39.9218661895136,116.3,406.127193658352,0,-0.940739015119312,0
8.5,39.9221265012936,116.3,405.602315011428,0,-1.13464165878704,0
8.6,39.9223868130735,116.3,404.979336364503,0,-1.32851831236255,0
8.7,39.9226471248534,116.3,404.258257717579,0,-1.52236454228686,0
8.8,39.9229074366333,116.3,403.439079070655,0,-1.71617591917814,0
8.9,39.9231677484133,116.3,402.52180042373,0,-1.90994801843742,0
9,39.9234280601932,116.3,401.506421776806,0,-2.10367642085275,0
9.1,39.9236883719731,116.3,400.392943129882,0,-2.29735671320138,0
9.2,39.923948683753,116.3,399.181364482957,0,-2.49098448884999,0
9.3,39.924208995533,116.3,397.871685836033,0,-2.68455534835264,0
9.4,39.9244693073129,116.3,396.463907189108,0,-2.87806490004627,0
9.5,39.9247296190928,116.3,394.958028542184,0,-3.07150876064354,0
9.6,39.9249899308727,116.3,393.35404989526,0,-3.26488255582279,0
9.7,39.9252502426527,116.3,391.651971248335,0,-3.45818192081502,0
9.8,39.9255105544326,116.3,389.851792601411,0,-3.65140250098759,0
9.9,39.9257708662125,116.3,387.953513954487,0,-3.84453995242443,0
10,39.9260311779924,116.3,385.957135307562,0,-4.03758994250274,0
10.1,39.9262914897724,116.3,383.862656660638,0,-4.23054815046575,0
10.2,39.9265518015523,116.3,381.670078013713,0,-4.4234102679916,0
10.3,39.9268121133322,116.3,379.379399366789,0,-4.61617199975793,0
10.4,39.9270724251121,116.3,376.990620719865,0,-4.8088290640022,0
10.5,39.9273327368921,116.3,374.50374207294,0,-5.00137719307735,0
10.6,39.927593048672,116.3,371.918763426016,0,-5.19381213400291,0
10.7,39.9278533604519,116.3,369.235684779092,0,-5.38612964901104,0
10.8,39.9281136722318,116.3,366.454506132167,0,-5.57832551608766,0
10.9,39.9283739840118,116.3,363.575227485243,0,-5.77039552950824,0
11,39.9286342957917,116.3,360.597848838318,0,-5.96233550036833,0
11.1,39.9288946075716,116.3,357.522370191394,0,-6.15414125710837,0
11.2,39.9291549193515,116.3,354.34879154447,0,-6.34580864603299,0
11.3,39.9294152311315,116.3,351.077112897545,0,-6.53733353182431,0
11.4,39.9296755429114,116.3,347.707334250621,0,-6.72871179804929,0
11.5,39.9299358546913,116.3,344.239455603696,0,-6.91993934766095,0
11.6,39.9301961664712,116.3,340.673476956772,0,-7.11101210349324,0
11.7,39.9304564782512,116.3,337.009398309848,0,-7.30192600874954,0
11.8,39.9307167900311,116.3,333.247219662923,0,-7.49267702748455,0
11.9,39.930977101811,116.3,329.386941015999,0,-7.68326114507951,0
12,39.9312374135909,116.3,325.428562369075,0,-7.87367436871059,0
