Time_s,Phi_query_deg,Theta_query_deg
16.9,170.684918099189,116.302989601753
17,170.536203063832,116.613877562736
17.1,170.387027837626,116.923752932379
17.2,170.237389028341,117.232633509339
17.3,170.087282172372,117.540536389599
17.4,169.936701812,117.847477997832
17.5,169.78564156684,118.153474117171
17.6,169.634094199789,118.458539917448
17.7,169.48205167778,118.762689981934
17.8,169.329505227659,119.065938332654
17.9,169.176445387465,119.368298454312
18,169.022862053425,119.669783316898
18.1,168.868744522916,119.970405397032
18.2,168.714081533671,120.270176698089
18.3,168.558861299475,120.569108769184
18.4,168.403071542604,120.867212723057
18.5,168.246699523206,121.164499252912
18.6,168.08973206587,121.46097864828
18.7,167.932155583555,121.756660809939
18.8,167.77395609909,122.051555263946
18.9,167.615119264409,122.345671174845
19,167.455630377687,122.639017358063
19.1,167.295474398545,122.93160229158
19.2,167.134635961442,123.223434126875
19.3,166.973099387419,123.514520699218
19.4,166.810848694295,123.804869537325
19.5,166.64786760544,124.094487872427
19.6,166.484139557236,124.383382646775
19.7,166.319647705312,124.671560521617
19.8,166.154374929665,124.959027884682
19.9,165.988303838724,125.245790857187
20,165.821416772464,125.531855300407
20.1,165.653695804615,125.817226821821
20.2,165.48512274406,126.101910780865
20.3,165.315679135448,126.385912294311
20.4,165.145346259115,126.669236241289
20.5,164.974105130333,126.951887267977
20.6,164.801936497954,127.233869791967
20.7,164.62882084248,127.515188006341
20.8,164.454738373607,127.795845883447
20.9,164.279669027269,128.07584717841
21,164.103592462227,128.355195432386
21.1,163.926488056215,128.63389397556
21.2,163.748334901697,128.911945929919
21.3,163.569111801223,129.18935421179
21.4,163.388797262449,129.466121534164
21.5,163.207369492798,129.742250408822
21.6,163.02480639382,130.017743148247
21.7,162.841085555238,130.292601867355
21.8,162.656184248708,130.566828485039
21.9,162.470079421312,130.840424725536
22,162.282747688783,131.113392119615
22.1,162.094165328481,131.385732005607
22.2,161.904308272133,131.65744553027
22.3,161.71315209834,131.928533649487
22.4,161.520672024859,132.198997128827
22.5,161.326842900678,132.468836543942
22.6,161.131639197874,132.738052280818
22.7,160.935035003275,133.006644535892
22.8,160.737004009926,133.274613316017
22.9,160.537519508366,133.541958438291
23,160.336554377713,133.80867952975
23.1,160.134081076573,134.074776026924
23.2,159.930071633774,134.340247175257
23.3,159.724497638925,134.605092028403
23.4,159.517330232804,134.869309447374
23.5,159.308540097586,135.132898099576
23.6,159.09809744691,135.395856457697
23.7,158.885972015785,135.65818279848
23.8,158.672133050347,135.919875201355
23.9,158.456549297468,136.180931546947
24,158.239188994217,136.441349515454
